account_id,acct_creation_date,statement_frequency,account_district,num_customers,credit_cards,loan_date,loan_amount,loan_payment,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,max_balance,min_balance,credit_bank_transfer_other_txn_ct,credit_bank_transfer_other_txn_tot,credit_bank_transfer_other_avg_txn,credit_cash_other_txn_ct,credit_cash_other_txn_tot,credit_cash_other_avg_txn,credit_other_interest_credit_txn_ct,credit_other_interest_credit_txn_tot,credit_other_interest_credit_avg_txn,debit_bank_transfer_household_payment_txn_ct,debit_bank_transfer_household_payment_txn_tot,debit_bank_transfer_household_payment_avg_txn,debit_cash_statement_charge_txn_ct,debit_cash_statement_charge_txn_tot,debit_cash_statement_charge_avg_txn,debit_cash_other_txn_ct,debit_cash_other_txn_tot,debit_cash_other_avg_txn,debit_bank_transfer_loan_payment_txn_ct,debit_bank_transfer_loan_payment_txn_tot,debit_bank_transfer_loan_payment_avg_txn,debit_bank_transfer_insurance_payment_txn_ct,debit_bank_transfer_insurance_payment_txn_tot,debit_bank_transfer_insurance_payment_avg_txn,debit_bank_transfer_other_txn_ct,debit_bank_transfer_other_txn_tot,debit_bank_transfer_other_avg_txn,credit_bank_transfer_pension_benefit_txn_ct,credit_bank_transfer_pension_benefit_txn_tot,credit_bank_transfer_pension_benefit_avg_txn,debit_credit_card_other_txn_ct,debit_credit_card_other_txn_tot,debit_credit_card_other_avg_txn,debit_cash_household_payment_txn_ct,debit_cash_household_payment_txn_tot,debit_cash_household_payment_avg_txn,debit_cash_negative_balance_charge_txn_ct,debit_cash_negative_balance_charge_txn_tot,debit_cash_negative_balance_charge_avg_txn,debit_cash_insurance_payment_txn_ct,debit_cash_insurance_payment_txn_tot,debit_cash_insurance_payment_avg_txn,pmt_order_ct,pmt_order_avg_amt,owner_client_id,gender,birth_date,owner_district
11,1995-10-10,monthly,Sumperk,1,1,,,,,,,6700,15,40389,300,39,136266,3494,1,300,300,39,4080,104.61538461538461,0,0,0,34,510,15,38,42340,1114.2105263157894,0,0,0,0,0,0,35,74620,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2132,14,F,1942-06-22,Sumperk
12,1997-04-15,monthly,Tabor,2,2,,,,,,,11000,15,29053,1100,0,0,0,1,1100,1100,18,1573,87.38888888888889,15,4455,297,15,225,15,22,41220,1873.6363636363637,0,0,0,0,0,0,15,49425,3295,20,118760,5938,0,0,0,0,0,0,0,0,0,0,0,0,2,1796,15,F,1918-08-28,Tabor
13,1997-08-17,monthly,Sumperk,2,2,,,,,,,7500,15,29751,1000,0,0,0,1,1000,1000,14,872,62.285714285714285,11,26884,2444,11,165,15,22,70450,3202.2727272727275,0,0,0,0,0,0,0,0,0,16,108848,6803,0,0,0,0,0,0,0,0,0,0,0,0,1,2444,17,M,1934-10-13,Sumperk
14,1996-11-27,monthly,Pardubice,1,1,,,,,,,17200,15,59453,400,0,0,0,27,408445,15127.592592592593,25,4143,165.72,20,72580,3629,20,300,15,26,287400,11053.846153846154,0,0,0,0,0,0,0,0,0,0,0,0,6,13000,2166.6666666666665,0,0,0,0,0,0,0,0,0,1,3629,19,M,1942-12-28,Pardubice
15,1993-10-02,monthly,Karvina,1,1,,,,,,,46720,15,66671,800,0,0,0,66,1178458,17855.424242424244,63,10043,159.4126984126984,59,181248,3072,58,870,15,119,958980,8058.655462184874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3072,,,,
16,1997-09-23,monthly,Pribram,1,1,,,,,,,26300,15,60274,500,0,0,0,17,345678,20334,15,1539,102.6,0,0,0,10,150,15,18,314040,17446.666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21,F,1952-10-29,Pribram
17,1997-01-08,monthly,Hl.m. Praha,2,2,,,,,,,25500,15,100815,700,0,0,0,16,251244,15702.75,17,4218,248.11764705882354,2,8064,4032,1,15,15,18,149507,8305.944444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4032,22,F,1969-10-11,Hl.m. Praha
19,1995-04-07,monthly,Tabor,1,1,1996-04-29,30276,2523,12,expired,TRUE,18500,1,58158,-10605,45,741807,16484.6,17,45800,2694.1176470588234,90,5589,62.1,0,0,0,40,600,15,63,280494,4452.285714285715,8,20184,2523,0,0,0,0,0,0,0,0,0,0,0,0,32,481000,15031.25,8,58,7.25,0,0,0,1,2523.2,25,F,1939-04-23,Tabor
20,1996-08-24,monthly,Ostrava - mesto,1,1,,,,,,,4950,15,20458,500,28,84140,3005,1,500,500,24,1584,66,24,48072,2003,23,345,15,16,20120,1257.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2003,26,F,1969-04-20,Ostrava - mesto
21,1997-12-06,monthly,Brno - mesto,1,1,,,,,,,28000,15,61685,1100,0,0,0,21,174019,8286.619047619048,13,1815,139.6153846153846,9,56484,6276,8,120,15,11,66000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6276,27,F,1966-03-26,Brno - mesto
22,1994-03-23,monthly,Hl.m. Praha,1,1,,,,,,,27600,15,68160,1100,0,0,0,61,1057631,17338.213114754097,57,9975,175,52,330304,6352,52,780,15,88,700800,7963.636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6352,28,M,1945-09-29,Hl.m. Praha
23,1993-05-22,monthly,Sokolov,1,1,,,,,,,40480,15,95299,800,0,0,0,70,1624224,23203.2,67,15261,227.77611940298507,62,360034,5807,62,930,15,109,1195440,10967.339449541285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5807,29,F,1951-09-11,Sokolov
24,1996-12-05,monthly,Ostrava - mesto,1,1,,,,,,,26800,15,49091,1000,0,0,0,27,351970,13035.925925925925,25,2891,115.64,21,4641,221,20,300,15,26,167880,6456.923076923077,0,0,0,0,0,0,21,160461,7641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3931,30,F,1957-10-09,Ostrava - mesto
25,1996-07-28,monthly,Frydek - Mistek,1,1,1997-12-08,30276,2523,12,expired,FALSE,63300,15,134210,900,0,0,0,54,1488172,27558.74074074074,28,6203,221.53571428571428,27,184059,6817,26,390,15,73,1215058,16644.630136986303,12,30276,2523,27,4428,164,27,29970,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2653.55,31,M,1962-02-09,Frydek - Mistek
26,1993-08-08,monthly,Usti nad Orlici,1,1,,,,,,,29100,15,83469,800,65,1748541,26900.63076923077,3,3300,1100,65,9566,147.16923076923078,60,623220,10387,60,900,15,98,1085537,11076.908163265307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10387,32,M,1980-07-28,Usti nad Orlici
27,1993-09-26,monthly,Opava,1,1,,,,,,,9500,15,40464,900,0,0,0,72,612344,8504.777777777777,63,6236,98.98412698412699,58,235132,4054,58,870,15,101,350400,3469.3069306930693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4054,33,F,1948-12-04,Opava
29,1994-11-24,monthly,Melnik,2,2,,,,,,,18000,8,59950,700,0,0,0,51,955223,18729.86274509804,49,6519,133.0408163265306,44,302324,6871,44,660,15,89,583560,6556.853932584269,0,0,0,45,360,8,45,37305,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2569.3333333333335,36,F,1978-07-17,Melnik
30,1995-03-04,monthly,Liberec,1,1,,,,,,,75600,15,149154,400,0,0,0,86,2294752,26683.162790697676,44,8228,187,0,0,0,43,645,15,108,2258196,20909.222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2480.2,38,F,1973-07-23,Liberec
31,1994-04-27,monthly,Frydek - Mistek,1,1,,,,,,,61700,15,137131,800,0,0,0,109,2898893,26595.34862385321,55,11596,210.83636363636364,53,540706,10202,54,810,15,112,2355695,21032.991071428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10202,39,M,1968-01-25,Frydek - Mistek
32,1995-08-28,monthly,Kolin,1,1,,,,,,,21500,15,90565,700,0,0,0,42,725738,17279.47619047619,40,8596,214.9,0,0,0,35,525,15,63,644100,10223.809523809523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,40,F,1957-01-22,Kolin
33,1993-08-26,monthly,Domazlice,1,1,,,,,,,63100,15,123696,600,0,0,0,67,1652341,24661.805970149253,64,19860,310.3125,59,229628,3892,59,885,15,73,1267900,17368.49315068493,0,0,0,0,0,0,0,0,0,0,0,0,22,61400,2790.909090909091,0,0,0,0,0,0,0,0,0,1,3892,41,M,1968-08-27,Domazlice
35,1993-07-07,monthly,Prerov,1,1,,,,,,,14950,15,32520,600,0,0,0,1,600,600,61,4769,78.18032786885246,61,62342,1022,60,900,15,70,192310,2747.285714285714,0,0,0,0,0,0,61,83082,1362,65,353990,5446,0,0,0,0,0,0,0,0,0,0,0,0,2,1192,43,M,1920-10-28,Prerov
36,1993-07-01,monthly,Hl.m. Praha,1,1,,,,,,,41120,15,85055,500,0,0,0,68,1423918,20939.970588235294,66,12162,184.27272727272728,62,252278,4069,61,915,15,131,1103760,8425.648854961832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4069,,,,
37,1997-08-18,monthly,Strakonice,1,1,1998-10-14,318480,5308,60,current,TRUE,43200,0,104762,-1011,0,0,0,19,494494,26026,17,2535,149.11764705882354,14,32438,2317,13,195,15,37,375655,10152.837837837838,1,5308,5308,14,1358,97,14,36176,2584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2576.375,45,M,1952-08-26,Strakonice
39,1993-09-22,monthly,Liberec,1,1,,,,,,,7300,15,36322,1100,0,0,0,1,1100,1100,60,5969,99.48333333333333,59,8555,145,58,870,15,99,213980,2161.4141414141413,0,0,0,0,0,0,59,175230,2970,63,407862,6474,0,0,0,0,0,0,0,0,0,0,0,0,2,1557.5,,,,
40,1993-10-25,monthly,Zlin,1,1,,,,,,,13000,15,41560,700,0,0,0,71,459285,6468.802816901409,62,5626,90.74193548387096,58,1914,33,57,855,15,60,189000,3150,0,0,0,0,0,0,58,249458,4301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2167,,,,
41,1997-08-02,monthly,Olomouc,1,1,,,,,,,19000,15,100992,800,0,0,0,19,324202,17063.263157894737,17,3741,220.05882352941177,0,0,0,12,180,15,23,227000,9869.565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,49,F,1959-05-11,Olomouc
42,1996-08-16,monthly,Most,1,1,,,,,,,11000,15,45322,800,0,0,0,35,307233,8778.085714285715,28,3259,116.39285714285714,24,101736,4239,23,345,15,42,140320,3340.9523809523807,0,0,0,23,36616,1592,23,5497,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2023.3333333333333,50,F,1978-07-30,Most
43,1994-06-12,monthly,Liberec,1,1,,,,,,,38560,15,99572,1100,0,0,0,57,1436880,25208.42105263158,55,14347,260.8545454545455,50,329450,6589,50,750,15,74,987280,13341.621621621622,0,0,0,0,0,0,0,0,0,0,0,0,35,73000,2085.714285714286,0,0,0,0,0,0,0,0,0,1,6589,51,F,1979-12-02,Liberec
44,1993-05-10,monthly,Ceska Lipa,1,1,,,,,,,11350,15,29482,400,0,0,0,1,400,400,63,4829,76.65079365079364,63,147672,2344,62,930,15,60,114210,1903.5,0,0,0,0,0,0,0,0,0,67,281400,4200,0,0,0,0,0,0,0,0,0,0,0,0,1,2344,52,M,1924-12-12,Ceska Lipa
45,1997-09-02,monthly,Zlin,1,1,,,,,,,15000,15,52970,300,0,0,0,25,77931,3117.24,16,1708,106.75,0,0,0,11,165,15,17,53600,3152.9411764705883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,53,M,1977-05-05,Zlin
47,1993-08-08,monthly,Jicin,1,1,,,,,,,63300,9,108509,300,65,2485624,38240.36923076923,3,8500,2833.3333333333335,65,12207,187.8,61,423340,6940,60,900,15,130,1983904,15260.8,0,0,0,60,8460,141,121,10989,90.81818181818181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1816,55,F,1948-09-18,Jicin
48,1996-11-17,monthly,Tabor,2,2,,,,,,,25120,15,72803,700,0,0,0,27,628885,23292.037037037036,25,5186,207.44,20,125360,6268,20,300,15,37,411720,11127.567567567568,0,0,0,0,0,0,20,20580,1029,0,0,0,2,5200,2600,0,0,0,0,0,0,0,0,0,2,3648.5,56,M,1960-03-31,Tabor
49,1997-04-06,monthly,Hl.m. Praha,1,1,,,,,,,3520,15,24004,300,0,0,0,1,300,300,21,1203,57.285714285714285,16,49632,3102,16,240,15,18,34060,1892.2222222222222,0,0,0,0,0,0,0,0,0,21,97734,4654,0,0,0,0,0,0,0,0,0,0,0,0,1,3102,58,F,1927-04-29,Hl.m. Praha
50,1994-05-06,monthly,Hl.m. Praha,1,1,,,,,,,23600,15,90088,900,0,0,0,61,992330,16267.704918032787,56,9190,164.10714285714286,51,13719,269,51,765,15,107,542700,5071.9626168224295,0,0,0,0,0,0,51,358224,7024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3646.5,59,M,1957-02-18,Hl.m. Praha
51,1996-05-11,monthly,Bruntal,1,1,,,,,,,26300,15,106203,800,0,0,0,32,702325,21947.65625,31,7959,256.741935483871,27,55998,2074,26,390,15,46,489100,10632.608695652174,0,0,0,0,0,0,26,53482,2057,0,0,0,4,13100,3275,0,0,0,0,0,0,0,0,0,2,2065.5,60,M,1980-02-19,Bruntal
52,1997-01-29,monthly,Jindrichuv Hradec,1,1,,,,,,,42300,15,83077,900,23,638250,27750,2,1100,550,23,3584,155.82608695652175,19,10640,560,18,270,15,40,540132,13503.3,0,0,0,0,0,0,19,70737,3723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2141.5,61,F,1948-08-06,Jindrichuv Hradec
53,1995-06-07,monthly,Vsetin,1,,,,,,,,3900,15,27519,700,0,0,0,1,700,700,43,3016,70.13953488372093,39,111189,2851,38,570,15,33,60750,1840.909090909091,0,0,0,0,0,0,0,0,0,43,183911,4277,0,0,0,0,0,0,0,0,0,0,0,0,1,2851,62,M,1932-12-08,Vsetin
54,1995-05-02,monthly,Kladno,1,1,,,,,,,8070,15,29756,1000,44,150524,3421,1,1000,1000,44,3276,74.45454545454545,40,91200,2280,39,585,15,42,36210,862.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2280,63,M,1959-06-04,Kladno
55,1996-02-19,monthly,Strakonice,1,1,,,,,,,4300,15,23445,300,0,0,0,1,300,300,30,2182,72.73333333333333,29,89494,3086,29,435,15,27,48960,1813.3333333333333,0,0,0,0,0,0,0,0,0,34,157386,4629,0,0,0,0,0,0,0,0,0,0,0,0,1,3086,64,M,1926-04-22,Strakonice
56,1994-05-16,monthly,Svitavy,1,1,,,,,,,29600,15,78757,900,0,0,0,63,902185,14320.396825396825,55,7556,137.38181818181818,51,412080,8080,50,750,15,74,439360,5937.2972972972975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8080,65,F,1943-05-27,Svitavy
57,1995-05-21,monthly,Hl.m. Praha,1,1,,,,,,,25300,15,77726,700,0,0,0,44,1002176,22776.727272727272,43,7261,168.86046511627907,39,160173,4107,38,570,15,91,785700,8634.065934065935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4107,66,F,1951-11-10,Hl.m. Praha
58,1996-08-23,monthly,Rokycany,1,1,,,,,,,14250,6,28954,-2204,0,0,0,1,600,600,25,1261,50.44,0,0,0,23,345,15,36,103250,2868.0555555555557,0,0,0,0,0,0,0,0,0,28,162512,5804,0,0,0,22,49500,2250,2,27,13.5,0,0,0,,,67,F,1932-11-11,Rokycany
59,1994-03-27,monthly,Hradec Kralove,1,1,,,,,,,22880,15,89720,600,0,0,0,66,930841,14103.651515151516,57,10261,180.01754385964912,53,36835,695,52,780,15,104,495620,4765.576923076923,0,0,0,0,0,0,53,328070,6190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3442.5,68,M,1946-12-14,Hradec Kralove
61,1993-12-11,monthly,Karvina,2,2,,,,,,,5850,15,31765,700,0,0,0,1,700,700,56,4663,83.26785714285714,56,92120,1645,55,825,15,56,98410,1757.3214285714287,0,0,0,0,0,0,55,36740,668,60,241140,4019,0,0,0,0,0,0,0,0,0,0,0,0,2,1156.5,70,M,1925-12-22,Karvina
62,1993-03-28,monthly,Pardubice,1,1,,,,,,,7600,15,36366,1100,0,0,0,1,1100,1100,65,6204,95.44615384615385,65,147745,2273,64,960,15,92,192390,2091.195652173913,0,0,0,0,0,0,0,0,0,69,350451,5079,0,0,0,0,0,0,0,0,0,0,0,0,1,2273,72,M,1923-01-13,Pardubice
63,1996-11-16,monthly,Domazlice,2,2,,,,,,,11650,15,37303,600,0,0,0,1,600,600,21,2335,111.19047619047619,21,46977,2237,20,300,15,21,45790,2180.4761904761904,0,0,0,0,0,0,20,3140,157,25,125600,5024,0,0,0,0,0,0,0,0,0,0,0,0,2,1197,73,M,1924-02-20,Domazlice
64,1997-03-11,monthly,Zlin,1,1,,,,,,,32200,200,79559,200,0,0,0,11,117148,10649.818181818182,19,2680,141.05263157894737,0,0,0,0,0,0,14,98100,7007.142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,75,F,1977-09-19,Zlin
65,1996-10-29,monthly,Liberec,1,1,,,,,,,26800,15,85379,600,0,0,0,27,701415,25978.333333333332,26,5384,207.07692307692307,22,15092,686,21,315,15,29,463300,15975.862068965518,0,0,0,22,74822,3401,22,72930,3315,0,0,0,12,24200,2016.6666666666667,0,0,0,0,0,0,0,0,0,3,2467.3333333333335,76,F,1967-10-01,Liberec
67,1994-10-19,monthly,Jindrichuv Hradec,1,1,1996-05-02,165960,6915,24,expired,FALSE,61500,15,134939,700,50,2261205,45224.1,2,6800,3400,50,10933,218.66,46,294078,6393,45,675,15,119,1758062,14773.63025210084,24,165960,6915,0,0,0,46,20470,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4584.333333333333,78,F,1944-06-13,Jindrichuv Hradec
69,1996-01-12,monthly,Zlin,1,1,,,,,,,22800,15,71708,600,0,0,0,87,278001,3195.4137931034484,36,4306,119.61111111111111,0,0,0,33,495,15,40,218350,5458.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,80,F,1979-02-25,Zlin
70,1995-02-18,monthly,Mlada Boleslav,2,2,,,,,,,20320,15,60184,500,0,0,0,55,471846,8579.018181818183,46,6978,151.69565217391303,42,174300,4150,41,615,15,61,261500,4286.88524590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4150,81,M,1976-04-29,Mlada Boleslav
71,1994-03-05,monthly,Hl.m. Praha,2,2,,,,,,,39520,15,94860,700,0,0,0,60,1369576,22826.266666666666,58,13110,226.0344827586207,53,51304,968,53,795,15,90,1034200,11491.111111111111,0,0,0,54,54594,1011,106,126140,1190,0,0,0,22,46100,2095.4545454545455,0,0,0,0,0,0,0,0,0,4,1089.75,83,F,1978-12-25,Hl.m. Praha
73,1993-11-08,monthly,Olomouc,1,1,,,,,,,44160,15,89175,400,0,0,0,66,1301198,19715.121212121212,62,12060,194.51612903225808,58,351538,6061,57,855,15,76,789860,10392.894736842105,0,0,0,0,0,0,0,0,0,0,0,0,47,109100,2321.276595744681,0,0,0,0,0,0,0,0,0,1,6061,87,F,1946-11-17,Olomouc
75,1995-08-13,monthly,Hl.m. Praha,1,1,,,,,,,20300,15,49848,700,0,0,0,42,551525,13131.547619047618,40,4067,101.675,36,121284,3369,35,525,15,62,408500,6588.709677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3369,89,F,1951-05-05,Hl.m. Praha
76,1996-05-16,monthly,Usti nad Orlici,1,1,,,,,,,22400,15,49609,200,0,0,0,42,296245,7053.452380952381,31,3686,118.90322580645162,27,140616,5208,26,390,15,37,139300,3764.864864864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5208,90,M,1975-08-17,Usti nad Orlici
77,1996-11-19,monthly,Vyskov,1,1,,,,,,,36200,15,56325,400,25,469975,18799,2,1100,550,25,2571,102.84,0,0,0,20,300,15,32,454012,14187.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1709,91,M,1940-08-07,Vyskov
78,1993-07-07,monthly,Ostrava - mesto,1,1,,,,,,,21100,15,78733,400,0,0,0,71,1263277,17792.6338028169,66,10431,158.04545454545453,61,551379,9039,61,915,15,129,643500,4988.372093023256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9039,92,F,1966-06-12,Ostrava - mesto
79,1996-11-29,monthly,Beroun,1,1,,,,,,,3680,15,27474,600,0,0,0,1,600,600,21,1674,79.71428571428571,21,58548,2788,20,300,15,16,26080,1630,0,0,0,0,0,0,0,0,0,25,104550,4182,0,0,0,0,0,0,0,0,0,0,0,0,1,2788,93,M,1925-02-16,Beroun
80,1995-09-27,monthly,Hradec Kralove,2,2,,,,,,,5250,15,28082,900,39,131742,3378,1,900,900,35,2884,82.4,0,0,0,34,510,15,33,31110,942.7272727272727,0,0,0,0,0,0,34,76568,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2252,94,M,1947-09-09,Hradec Kralove
81,1996-07-18,monthly,Ostrava - mesto,1,1,,,,,,,3800,15,39080,1000,29,89436,3084,16,43200,2700,29,3118,107.51724137931035,25,44125,1765,24,360,15,46,47850,1040.2173913043478,0,0,0,24,5496,229,24,1488,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,685.3333333333334,96,M,1972-02-29,Ostrava - mesto
